title, Lat, Lon
 WIND, -25.3021, 115.1164
 WOOD, -26.0511, 114.7542
 WOOL, -27.7456, 115.8286
 WOOR, -25.7400, 114.2847
 YALB, -25.1883, 114.6800
 YALL, -27.4278, 115.5147
 YARI, -25.9436, 114.3222
 CARB, -26.2011, 114.2869
 MEER, -24.9017, 114.2164
 CARN, -24.8858, 113.6565
 COOL, -27.5167, 115.0500
 MOOG, -24.2167, 115.3833
 PLEA, -23.4000, 114.7000
 WINN, -23.1567, 114.5403
 MIA , -23.5000, 114.0167
 WAHR, -25.4906, 114.3981
 MOUN, -26.5903, 115.9267
 HILL, -24.3058, 114.5003
 MUGG, -26.6167, 115.5467
 EMU , -23.0314, 115.0414
 BERN, -24.8333, 113.3000
 MILL, -24.8667, 114.5833
 BOOD, -25.2000, 113.9000
 BOOL, -26.3000, 114.2500
 BOUN, -25.3000, 115.6000
 CALL, -25.8000, 115.1000
 ELLA, -25.0881, 114.3836
 NANG, -26.2564, 113.8064
 NILE, -26.4000, 114.0500
 POIN, -24.5000, 113.5000
 SHAW, -24.3000, 113.8000
 WARR, -23.4836, 113.7926
 YALO, -24.2000, 114.1000
 MING, -25.2333, 115.6333
 BRIC, -24.8167, 113.8333
 COOR, -24.4333, 114.2667
 CAPE, -23.6333, 113.6167
 MEEB, -26.9600, 115.9733
 MEAR, -25.9667, 115.9833
 BILL, -26.8156, 114.6133
 MINI, -23.8100, 114.0083
 CAPE, -24.2167, 113.3833
 QUOB, -24.3967, 113.4056
 DOOR, -25.0167, 114.2833
 USEL, -26.1203, 113.3975
 WEED, -25.0280, 115.8620
 MURC, -26.8956, 115.9567
 COOL, -27.5250, 115.0569
 YALA, -26.0983, 115.2444
 STEE, -26.1764, 113.2149
 MIDD, -23.9064, 114.7681
 MINN, -24.0297, 115.6894
 SHAR, -25.8925, 113.5772
 MOOL, -25.0370, 115.9940
 FAR , -24.8128, 113.7925
 CAPE, -24.2201, 113.3975
 GNAR, -23.8761, 113.4972
 RED , -24.0305, 113.4509
 WIND, -25.3097, 115.1450
 LYON, -24.6200, 115.3347
 BULL, -27.8556, 115.6716
 CARD, -23.1289, 114.0506
 BARN, -28.6294, 116.2814
 BEEB, -26.9683, 117.9031
 BELE, -26.3611, 118.0283
 BERI, -26.0417, 116.9528
 BIG , -27.3500, 117.6667
 BOOD, -28.3000, 117.9000
 BOOG, -28.0411, 117.6703
 BOOL, -26.9839, 116.5353
 BRYA, -25.5059, 118.7983
 BULL, -27.4833, 117.3000
 BUNN, -28.6058, 116.5719
 BURN, -28.7839, 117.3625
 BUTT, -26.1297, 118.4853
 COGL, -27.2500, 118.3333
 COOD, -27.2528, 117.6522
 COOD, -27.3000, 117.2500
 COOD, -29.3667, 117.7000
 CUE, -27.4250, 117.8936
 CULL, -27.0392, 118.3650
 BULL, -24.0019, 119.5725
 ANNE, -26.8764, 118.1731
 AUST, -27.3839, 117.7453
 DAY , -27.4667, 117.8500
 DOOL, -25.6864, 119.2258
 EDAH, -28.2731, 117.1544
 WANN, -23.9214, 116.5594
 FOUR, -26.4500, 118.2000
 GABY, -28.2494, 116.3400
 WANN, -24.0469, 116.2181
 GLEN, -25.4333, 116.1167
 JUDA, -26.1142, 117.5047
 HILL, -26.9033, 118.8361
 ILLG, -27.6292, 117.4867
 ILLG, -24.3444, 119.5808
 JING, -27.7444, 116.7439
 KALL, -26.8936, 117.1211
 KILL, -26.3475, 118.9583
 KIRK, -28.5564, 117.7803
 KOON, -26.2750, 117.7842
 LAKE, -27.6000, 117.9000
 LAKE, -27.5958, 117.7500
 LAND, -25.1303, 116.9047
 MADO, -26.9367, 117.5928
 MANF, -26.4458, 116.5467
 MARL, -28.3000, 116.2000
 MEEK, -26.6136, 118.5372
 MEEK, -26.5933, 118.4883
 MEEL, -28.4467, 118.2678
 MEKA, -27.4222, 116.8250
 MILE, -26.3736, 117.3339
 MILG, -25.0942, 118.2983
 MING, -24.9500, 118.7133
 MOOR, -25.9214, 117.6000
 MOUN, -24.3086, 116.9111
 MOUN, -27.8794, 117.5506
 MOUN, -25.8058, 117.3905
 MOUN, -24.8567, 116.8950
 MOUN, -28.0617, 117.8506
 MOUN, -24.4000, 116.3078
 MOUN, -24.2297, 118.2408
 MOUN, -27.4189, 116.6897
 MULG, -24.8333, 118.4717
 MUND, -23.7942, 120.2442
 MURA, -28.5253, 117.0344
 MURG, -27.3636, 116.4261
